scorer,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000,DLC_snapshot-200000
bodyparts,tail,tail,tail,spine4,spine4,spine4,spine3,spine3,spine3,spine2,spine2,spine2,spine1,spine1,spine1,head,head,head,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
frame0034,472.3995224,199.7430448,0.999000013,423.9284776,279.452,0.999000013,423.432,307.865,0.825999975,423.5731948,355.8006234,0.893000007,428.046,392.7562597,0.536000013,429.7314627,408.219,0.998000026,428.3129552,420.5239481,1,418.503,401.434,1,436.204,398.5396364,0.998000026
frame0035,473.1624935,203.4963117,0.998000026,427.3471169,288.8059701,1,422.9495065,318.1277922,0.702000022,424.4456104,363.621,0.948000014,428.5053134,399.729039,0.547999978,428.336597,415.978,0.999000013,427.173,428.969,1,418.3103284,407.7145075,1,436.536,406.710806,0.991999984
frame0036,474.831,210.0938507,0.999000013,427.584,297.3632239,0.998000026,420.953,331.808,0.691999972,424.5802597,371.8089351,0.948000014,428.347,409.894,0.451999992,429.236,425.888,0.999000013,427.3791045,437.2139221,1,418.391,418.384,0.999000013,435.105,419.535,0.996999979
frame0037,472.4724156,216.2029091,0.998000026,428.544,309.248597,0.990999997,428.083,332.178,0.574000001,426.133,382.348,0.941999972,429.48,418.995,0.638000011,428.507,435.7309091,1,428.334,446.0614925,1,418.993,426.8525373,1,436.904,427.3873247,0.999000013
frame0038,469.446,221.086,0.995000005,427.387,317.6462338,0.999000013,425.7897313,340.056,0.611999989,425.826,390.6252468,0.879999995,428.078,369.5367273,0.551999986,430.49,444.1455584,0.999000013,427.432,457.5911642,1,419.3817313,436.3835844,1,435.854,438.3855584,0.998000026
frame0039,467.762,231.1382687,0.999000013,425.356,325.222,1,426.964,355.785,0.839999974,425.9557403,394.5223881,0.962000012,430.545039,435.903,0.208000004,428.0765373,454.1414026,1,426.951,463.1451429,1,417.923,443.8875224,1,436.111,444.542961,0.999000013
frame0040,465.651,240.8895584,0.999000013,422.7539104,336.3130746,0.998000026,424.6484776,364.443,0.967000008,427.761,401.3924776,0.987999976,428.387,438.6604675,0.381999999,430.7984416,463.824,0.998000026,430.3923582,474.9737143,1,418.1082985,452.9491948,1,436.386,453.1801558,0.995999992
frame0041,456.897,247.7744416,0.995999992,419.459,345.959,0.996999979,420.665,379.752,0.744000018,426.842,415.962,0.933000028,428.191,458.07,0.656000018,429.985,473.9582338,1,428.965,488.1299104,1,418.463,466.311,1,438.4472727,467.883,0.999000013
frame0042,453.469,261.9705974,1,420.443,355.9271642,1,423.5984416,390.7912836,0.920000017,427.256,425.6686753,0.985000014,432.0233766,467.512,0.890999973,432.0118209,483.5894026,1,432.1740896,496.6354286,1,421.913,474.6735584,1,440.555,474.5024416,0.999000013
frame0043,453.405,273.6813506,0.996999979,422.7437922,368.5951169,1,421.593,398.9079403,0.915000021,426.0164776,435.5161791,0.964999974,432.3880519,476.9473433,0.966000021,433.8666269,496.7871045,1,435.7504478,509.301,1,423.2468571,487.3305974,1,442.2884776,485.8681558,0.998000026
frame0044,459.4771343,283.1853506,0.999000013,427.353,381.1647761,0.999000013,426.723,412.371,0.947000027,426.567,448.223,0.847000003,435,489.5953247,0.922999978,434.823,505.7878442,0.999000013,436.391,517.3973731,1,426.97,499.552,1,443.566,500.7964675,0.996999979
frame0045,467.871,295.9087792,0.995000005,428.676,393.9353766,0.991999984,422.7662338,423,0.957000017,428.062,465.7819701,0.990999997,434.159,504.2253506,0.986000001,434.8327164,516.2303284,1,437.662209,528.4463377,1,426.628,509.9287164,1,443.168,509.9738507,0.999000013
frame0046,471.436,308.279,0.989000022,431.6346269,405.9198806,0.976999998,427.258,435.2378507,0.89200002,430.2626494,478.2052987,0.98299998,434.2169552,515.484,0.986000001,434.9391045,528.0544478,1,436.3081791,539.705,1,426.156,520.329039,1,442.64,520.6513433,0.999000013
frame0047,473.8105075,318.3958209,0.994000018,432.7854545,416.4115325,0.999000013,426.573,437.7917922,0.805000007,428.9921194,480.8611343,0.88499999,434.406,522.1622687,0.97299999,434.7854328,537.292,1,435.951403,548.3444776,1,425.7155821,530.702,0.999000013,443.4361791,532.5222857,0.998000026
frame0048,473.6450149,329.5816119,1,428.4654545,423.9715325,0.999000013,428.199,445.2966234,0.828999996,429.0423896,492.152,0.990999997,433.803,534.1062857,0.985000014,435.435,548.2912208,1,436.982026,562.1965714,1,425.4297313,540.2686567,1,442.896,541.592597,0.999000013
frame0049,468.441,336.6336623,1,425.6253134,434.9530746,1,426.923,467.8905974,0.992999971,430.4515325,497.324,0.996999979,434.8767761,542.3918961,0.992999971,434.7069851,558.4404156,1,437.8932537,570.444,1,425.1899221,548.438026,1,443.1309851,549.1318442,0.999000013
frame0050,460.0918209,347.5776623,1,421.5664478,444.8122597,1,425.876,474.559,0.944000006,431.6577662,509.699,0.99000001,435.218,548.524,0.973999977,436.24,565.6824935,1,436.6154805,581.6908052,1,428.014,558.9827532,1,443.7413731,557.5025455,0.998000026
frame0051,457.9877015,359.1322597,1,424.3549091,455.3579221,1,425.85,483.543,0.968999982,431.7363117,519.4477612,0.99000001,436.273,558.2421818,0.968999982,436.9658507,578.6883117,1,437.3774328,593.4165195,1,429.047,570.9847164,0.999000013,444.792,569.301,0.995999992
frame0052,459.3073433,363.7991688,0.999000013,427.635,466.191,0.996999979,426.773,493.7222687,0.916999996,433.1756418,526.017,0.888000011,436.782,564.489,0.825999975,439.2645195,583.176,1,441.9607164,596.9837922,1,429.299,573.0297313,1,450.9209552,572.9077403,0.991999984
frame0053,473.1248955,376.2483582,1,435.489,472.4892468,0.994000018,427.096,503.1983284,0.952000022,430.142961,532.3551045,0.94599998,437.21,572.0056119,0.671000004,443.3516883,589.7463896,1,444.814,601.3309091,1,429.472,578.3442078,0.999000013,451.4894328,578.8014545,0.992999971
frame0054,485.216597,383.739,1,433.358,475.448,0.995999992,430.3168831,506.885,0.962000012,434.878,538.0764179,0.990999997,436.569,571.875,0.748000026,444.7171343,593.2122985,1,445.136,607.9067463,1,429.987,584.9344478,0.999000013,451.924,581.468,0.992999971
frame0055,490.323,394.3816119,1,438.5229851,485.3939104,1,435.87,510.6573134,0.986999989,434.432,545.2678209,0.987999976,436.351,580.1077403,0.842999995,446.171,597.124,1,449.484,610.7834805,1,430.758806,587.9791169,1,452.627,588.2119481,0.995999992
frame0056,489.248,404.321,0.999000013,435.5971948,488.8413134,1,434.3480597,512.8335584,0.986999989,435.848,547.122,0.989000022,438.2256623,578.6392836,0.757000029,449.846,601.834,1,454.56,613.0828052,1,434.122,591.7250149,0.998000026,452.6500299,588.7477403,0.991999984
frame0057,487.6022687,409.8370909,0.998000026,432.469,496.2465672,0.995000005,435.1486567,523.456,0.882000029,438.5978182,553.8487164,0.977999985,444.3743284,580.799,0.515999973,453.1595844,605.111,1,459.119,617.7664478,1,435.561,595.0154805,0.995999992,460.0182857,589.558,0.977999985
frame0058,478.4797612,415.368,0.999000013,428.4902687,502.0151642,0.998000026,434.9648955,526.8368955,0.884000003,438.5463896,555.0802388,0.99000001,444.134,579.951403,0.620999992,453.213,605.6768955,1,459.808,618.6379701,1,434.666,594.9640519,0.995000005,460.0445373,590.5579701,0.989000022
frame0059,471.6486234,412.94,0.999000013,423.446,502.0232727,1,430.1233247,526.5220299,0.93599999,438.896,554.3817313,0.984000027,450.6791642,580.3845195,0.800999999,454.255,607.8801039,1,459.9370746,621.6522985,1,443.1471045,596.621,0.989000022,460.9934328,594.9163636,0.998000026
frame0060,466.389,415.3486567,0.998000026,424.9776623,503.323,1,430.0747013,527.1044776,0.954999983,437.5515224,554.5343284,0.995999992,450.535,586.8345974,0.898999989,461.128,608.6234805,1,461.9122388,621.7425672,1,445.19,597.951403,0.995999992,461.0654328,595.9785974,0.994000018
frame0061,467.27,416.8606567,0.999000013,425.1871169,505.15,1,428.646,526.7510649,0.962000012,436.695,551.5957403,0.995999992,450.554,580.0806234,0.625999987,461.8563582,609.597,1,463.6724776,621.0972468,1,445.828,602.9841039,0.996999979,466.6572468,595.8589091,0.970000029
frame0062,475.661,422.6991045,0.999000013,428.149,507.743,1,429.6660779,526.6968312,0.962000012,438.365,553.9389851,0.996999979,451.275,586.9814026,0.848999977,462.9223881,610.447,1,463.7562985,622.1258182,1,445.716,602.2210909,0.995999992,466.7713247,595.991,0.963999987
frame0063,476.192,424.2562388,0.998000026,429.2,510.339,1,429.5538701,527.2653506,0.967999995,438.2144416,554.751,0.999000013,446.4065455,580.712,0.85799998,463.4715224,609.658,1,465.2167164,620.8101818,1,445.603,602.726961,0.998000026,467.0752208,595.6803117,0.912
frame0064,483.552,429.0554805,1,428.838,510.636,1,429.195,527.0755325,0.975000024,437.9367273,554.037,0.999000013,443.978,580.0852987,0.967999995,464.431,607.9764156,1,466.9891948,621.5491343,1,445.73,598.179,0.999000013,461.425,589.712,0.944999993
frame0065,481.159,430.4749091,1,429.243,509.95,1,429.8502857,526.795013,0.984000027,437.131,551.0933731,0.999000013,442.901,579.5301493,0.980000019,464.926,607.1442078,1,467.5927164,619.5653731,1,445.23,597.848,0.998000026,461.2427463,589.502,0.954999983
frame0066,476.5905672,434.5358961,0.999000013,427.945,509.932987,1,428.926,526.8604675,0.978999972,438.221,555.344,0.998000026,443.979,579.9945974,0.992999971,464.765,604.6742687,1,469.301,616.9841194,1,450.2084776,596.1954627,0.996999979,462.0111045,589.1367273,0.998000026
frame0067,477.1955821,434.8669091,0.999000013,428.152,510.5267532,1,428.897,526.8071688,0.97299999,437.572,553.193194,0.99000001,444.204,579.0716883,0.904999971,465.1658182,604.854806,1,472.945,614.7768358,1,447.7997922,597.529,0.992999971,466.9761039,588.3138701,0.992999971
frame0068,476.8054925,432.942,1,429.152,511.042,1,429.897039,526.7286234,0.959999979,437.4644776,555.96,0.995999992,451.443,580.211,0.94599998,466.798,603.4448955,1,475.7448358,610.136,1,451.824,597.653,0.996999979,467.485,587.9258182,0.981000006
frame0069,477.1042388,433.7981299,1,428.888,509.7328831,1,429.7334026,526.3732987,0.971000016,438.351,553.0470448,0.99000001,451.7032836,579.631,0.963,466.1054328,599.291,1,474.5099221,609.0105974,1,451.603,594.9037612,0.998000026,467.9838806,587.6360597,0.986000001
frame0070,476.7850746,432.5554286,1,428.309,505.2691343,1,429.9578182,526.0376104,0.962000012,438.6726234,550.1342338,0.991999984,452.174,579.143,0.944000006,466.5471045,597.3700299,1,473.755,606.6429851,0.999000013,451.774209,594.2761791,0.995999992,468.4357403,586.9944935,0.994000018
frame0071,477.1332537,432.2047792,1,426.804,504.4338701,1,430.070961,526.0432208,0.950999975,439.3355844,549.2094545,0.97299999,444.4569351,572.9357922,0.81400001,466.9447164,595.1005714,0.999000013,474.137194,600.6034286,0.995000005,451.902,591.7583284,0.984000027,468.024,580.767,0.980000019
frame0072,478.1887048,433.6414646,1,426.589,504.1084675,1,430.2355325,526.0422857,0.966000021,439.2935065,549.3263377,0.958999991,451.784,579.013,0.970000029,462.6032239,594.1000519,0.996999979,468.8253134,598.6842985,0.999000013,449.8183881,591.0888358,0.992999971,467.6120597,581.205,0.985000014
frame0073,477.1128358,432.7686234,1,425.938,504.007,1,427.823,526.0048831,0.866999984,443.394,553.779,0.910000026,451.6495522,579.077,0.949999988,461.5844776,594.3300779,0.996999979,468.474,597.891,0.995000005,446.5655065,591.0415522,0.985000014,467.7811948,586.1548052,0.981000006
frame0074,478.1069983,434.063137,1,425.346,505.4633766,1,427.55,526.6715844,0.809000015,442.5324179,554.644,0.888999999,452.0310448,579.61,0.968999982,460.5077015,594.543,0.986999989,467.5701493,602.7624935,0.987999976,445.727,593.5708052,0.989000022,467.7001791,587.174961,0.995000005
frame0075,478.648994,434.4300105,0.999500036,427.286,508.4951642,0.998000026,427.828,526.5032727,0.593999982,437.5552208,557.7045195,0.912,452.985,586.954,0.963999987,461.3351642,595.35,0.967000008,469.2852537,601.052,0.967000008,450.3567761,595.3798209,0.976999998,461.1266866,587.0375065,0.995000005
frame0076,475.8351045,431.1715325,0.999000013,429.177,509.9308657,0.999000013,429.8418701,531.621,0.754000008,443.2470448,563.24,0.944000006,452.938,587.737,0.99000001,465.4617313,596.813,0.995000005,473.716,602.129,0.990999997,450.1042388,598.182,0.998000026,460.3669254,587.812,0.994000018
